,issuercountry,txvariantcode,issuer_id,amount,currencycode,shoppercountry,interaction,verification,cvcresponse,creationdate_stamp,accountcode,mail_id,ip_id,card_id,label,creationdate
86636,SE,mcdebit,554501.0,769500.0,SEK,SE,Ecommerce,TRUE,1,1437556705.0,SwedenAccount,320578,200504,253416,1,2015-7-22
86768,MX,mccredit,557910.0,119900.0,MXN,MX,Ecommerce,TRUE,0,1437670521.0,MexicoAccount,260026,65124,157094,1,2015-7-23
86769,MX,mccredit,520416.0,160800.0,MXN,MX,Ecommerce,TRUE,0,1437687867.0,MexicoAccount,105581,81624,235670,1,2015-7-23
86841,AU,mccredit,552033.0,12750.0,AUD,AU,Ecommerce,TRUE,0,1437617865.0,APACAccount,208861,29560,11959,1,2015-7-23
88266,AU,mccredit,552350.0,33000.0,AUD,AU,Ecommerce,TRUE,0,1437694610.0,APACAccount,259430,130088,46849,1,2015-7-24
91074,MX,mccredit,520021.0,89900.0,MXN,MX,Ecommerce,TRUE,0,1437858682.0,MexicoAccount,250381,64823,43275,1,2015-7-25
91133,AU,mccredit,532655.0,3850.0,AUD,AU,Ecommerce,TRUE,0,1437809241.0,APACAccount,306502,24135,18584,1,2015-7-25
93136,MX,mccredit,520021.0,97900.0,MXN,MX,Ecommerce,TRUE,0,1437875752.0,MexicoAccount,13339,67976,270780,1,2015-7-26
93137,MX,mccredit,518853.0,129900.0,MXN,US,Ecommerce,TRUE,0,1437942149.0,MexicoAccount,100813,352385,236034,1,2015-7-26
95978,GB,visadebit,446291.0,7500.0,GBP,GB,ContAuth,FALSE,0,1438010937.0,UKAccount,257146,349441,108918,1,2015-7-27
97559,MX,mccredit,520416.0,191900.0,MXN,MX,Ecommerce,TRUE,0,1438099371.0,MexicoAccount,21032,70585,252061,1,2015-7-28
97560,MX,mccredit,554900.0,93415.0,MXN,MX,Ecommerce,TRUE,0,1438116035.0,MexicoAccount,93270,112449,147712,1,2015-7-28
97665,AU,visabusiness,455704.0,82300.0,AUD,AU,Ecommerce,TRUE,0,1438049809.0,APACAccount,227822,17642,237632,1,2015-7-28
97666,AU,visaclassic,494052.0,23000.0,AUD,AU,Ecommerce,TRUE,0,1438103213.0,APACAccount,293014,145442,93938,1,2015-7-28
97667,AU,visasignature,414726.0,26000.0,AUD,AU,Ecommerce,TRUE,0,1438114806.0,APACAccount,36571,25981,9205,1,2015-7-28
99276,MX,visaclassic,477291.0,289900.0,MXN,MX,Ecommerce,TRUE,0,1438185413.0,MexicoAccount,21032,70585,140567,1,2015-7-29
99381,AU,visagold,494053.0,36000.0,AUD,AU,Ecommerce,TRUE,0,1438126743.0,APACAccount,118325,131461,161666,1,2015-7-29
100903,MX,mccredit,547146.0,109900.0,MXN,MX,Ecommerce,TRUE,0,1435902817.0,MexicoAccount,47409,113648,181744,1,2015-7-3
101030,AU,mccredit,550201.0,15000.0,AUD,AU,Ecommerce,TRUE,0,1435906638.0,APACAccount,199771,116906,142412,1,2015-7-3
102844,MX,visaplatinum,477214.0,118900.0,MXN,MX,Ecommerce,TRUE,0,1438228127.0,MexicoAccount,332232,112910,148220,1,2015-7-30
102845,MX,visaplatinum,410181.0,329900.0,MXN,MX,Ecommerce,TRUE,0,1438234254.0,MexicoAccount,136002,111250,45886,1,2015-7-30
102846,MX,visaplatinum,410181.0,181900.0,MXN,MX,Ecommerce,TRUE,0,1438234718.0,MexicoAccount,136002,111250,45886,1,2015-7-30
102847,MX,visaclassic,493161.0,169915.0,MXN,MX,Ecommerce,TRUE,0,1438280676.0,MexicoAccount,251083,84162,48227,1,2015-7-30
102848,MX,visaclassic,454069.0,99900.0,MXN,MX,Ecommerce,TRUE,0,1438287364.0,MexicoAccount,163478,113963,266191,1,2015-7-30
104555,MX,visaclassic,426807.0,129900.0,MXN,MX,Ecommerce,TRUE,0,1438323142.0,MexicoAccount,346054,77866,193843,1,2015-7-31
104556,MX,mccredit,520416.0,83900.0,MXN,MX,Ecommerce,TRUE,0,1438345662.0,MexicoAccount,129360,66658,47876,1,2015-7-31
104557,MX,visaplatinum,477214.0,79900.0,MXN,MX,Ecommerce,TRUE,0,1438376542.0,MexicoAccount,92308,77120,88373,1,2015-7-31
104806,GB,visadebit,476225.0,9395.0,GBP,GB,Ecommerce,TRUE,1,1438307222.0,UKAccount,119565,316557,78119,1,2015-7-31
106316,AU,mccredit,552033.0,23100.0,AUD,AU,Ecommerce,TRUE,0,1435974075.0,APACAccount,201150,28147,208560,1,2015-7-4
106445,GB,visadebit,476358.0,7095.0,GBP,GB,Ecommerce,TRUE,1,1436018194.0,UKAccount,132088,269934,165881,1,2015-7-4
110864,AU,mccredit,522980.0,52000.0,AUD,AU,Ecommerce,TRUE,0,1436141316.0,APACAccount,93587,158996,115256,1,2015-7-6
112831,NL,mccredit,522078.0,24900.0,SEK,DE,Ecommerce,TRUE,1,1436143881.0,SwedenAccount,331518,62555,228065,1,2015-7-6
114901,SE,mccredit,522767.0,415000.0,SEK,SE,Ecommerce,TRUE,1,1436264007.0,SwedenAccount,142172,226855,96104,1,2015-7-7
115052,MX,visaclassic,477291.0,89900.0,MXN,MX,Ecommerce,TRUE,0,1436373335.0,MexicoAccount,205501,83553,97271,1,2015-7-8
115053,MX,visaclassic,493161.0,79900.0,MXN,MX,Ecommerce,TRUE,0,1436389466.0,MexicoAccount,243511,112410,159816,1,2015-7-8
116943,MX,visaclassic,477291.0,69900.0,MXN,MX,Ecommerce,TRUE,0,1436401896.0,MexicoAccount,137086,83481,251249,1,2015-7-9
116944,MX,mccredit,520416.0,129900.0,MXN,MX,Ecommerce,TRUE,0,1436410608.0,MexicoAccount,295644,66704,70297,1,2015-7-9
